rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
3191	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	404709	2	2	2	0	0	0	1	0	1	0	0.0731	0.748	0.0896	0.601	0.835	0.232	1.000
3192	MAP3K10	mitogen-activated protein kinase kinase kinase 10	656335	3	3	3	0	0	0	0	3	0	0	0.0783	0.527	0.805	0.360	0.779	0.232	1.000
3193	OR2L13	olfactory receptor, family 2, subfamily L, member 13	423444	1	1	1	1	1	0	0	0	0	0	0.232	0.902	NaN	NaN	NaN	0.232	1.000
3194	GNA12	guanine nucleotide binding protein (G protein) alpha 12	386753	1	1	1	0	0	0	0	1	0	0	0.232	0.847	NaN	NaN	NaN	0.232	1.000
3195	PRPH2	peripherin 2 (retinal degeneration, slow)	454691	2	2	2	0	0	0	2	0	0	0	0.0611	0.696	0.998	0.628	1.000	0.232	1.000
3196	PTPRU	protein tyrosine phosphatase, receptor type, U	1659947	4	4	4	1	1	0	0	3	0	0	0.291	0.616	0.133	0.341	0.210	0.232	1.000
3197	SLC30A8	solute carrier family 30 (zinc transporter), member 8	513260	2	2	2	0	0	1	0	0	1	0	0.165	0.623	0.0479	0.794	0.370	0.232	1.000
3198	CTDP1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1	773405	5	4	5	2	0	1	0	2	2	0	0.167	0.944	0.286	0.221	0.366	0.232	1.000
3199	CD300LF	CD300 molecule-like family member f	399542	1	1	1	0	0	0	0	0	1	0	0.232	0.823	NaN	NaN	NaN	0.232	1.000
3200	C8orf37	chromosome 8 open reading frame 37	289777	2	2	2	0	0	0	0	1	1	0	0.0624	0.861	0.296	0.551	0.982	0.232	1.000
3201	SCFD1	sec1 family domain containing 1	893049	3	3	2	1	0	0	0	1	2	0	0.212	0.894	0.168	0.935	0.289	0.232	1.000
3202	ZNF488	zinc finger protein 488	367348	1	1	1	0	0	1	0	0	0	0	0.233	0.621	NaN	NaN	NaN	0.233	1.000
3203	AIM1L	absent in melanoma 1-like	687554	2	2	2	1	0	1	0	0	1	0	0.171	0.727	0.788	0.284	0.360	0.233	1.000
3204	CLDN2	claudin 2	307513	1	1	1	0	0	0	0	1	0	0	0.233	0.799	NaN	NaN	NaN	0.233	1.000
3205	OR52W1	olfactory receptor, family 52, subfamily W, member 1	423175	2	2	2	0	0	0	1	1	0	0	0.155	0.538	0.307	0.391	0.398	0.233	1.000
3206	DENR	density-regulated protein	227187	1	1	1	0	0	0	0	1	0	0	0.233	0.859	NaN	NaN	NaN	0.233	1.000
3207	TNFRSF13B	tumor necrosis factor receptor superfamily, member 13B	358808	1	1	1	0	0	0	0	1	0	0	0.233	0.829	NaN	NaN	NaN	0.233	1.000
3208	PITPNB	phosphatidylinositol transfer protein, beta	306730	1	1	1	0	0	0	0	0	1	0	0.233	1.000	NaN	NaN	NaN	0.233	1.000
3209	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	3127838	6	6	6	1	0	0	1	4	1	0	0.371	0.538	0.0787	0.790	0.166	0.233	1.000
3210	PRNP	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	288161	1	1	1	0	0	0	1	0	0	0	0.233	0.780	NaN	NaN	NaN	0.233	1.000
3211	PLD4	phospholipase D family, member 4	358488	1	1	1	0	0	0	1	0	0	0	0.233	0.830	NaN	NaN	NaN	0.233	1.000
3212	KNG1	kininogen 1	921050	2	2	2	0	0	1	0	0	1	0	0.269	0.692	0.381	0.165	0.229	0.234	1.000
3213	SLITRK2	SLIT and NTRK-like family, member 2	1112418	3	3	3	0	1	1	1	0	0	0	0.129	0.265	0.823	0.0776	0.480	0.234	1.000
3214	ALAS2	aminolevulinate, delta-, synthase 2	767328	3	3	3	0	0	0	1	1	1	0	0.0894	0.507	0.422	0.672	0.691	0.234	1.000
3215	LIMS1	LIM and senescent cell antigen-like domains 1	360719	1	1	1	0	0	1	0	0	0	0	0.234	0.608	NaN	NaN	NaN	0.234	1.000
3216	MPPED2	metallophosphoesterase domain containing 2	427866	1	1	1	1	0	0	1	0	0	0	0.234	0.951	NaN	NaN	NaN	0.234	1.000
3217	NOM1	nucleolar protein with MIF4G domain 1	942288	3	3	3	1	0	1	0	2	0	0	0.135	0.818	0.400	0.433	0.458	0.234	1.000
3218	TMX2	thioredoxin-related transmembrane protein 2	411898	2	2	2	0	0	1	0	0	1	0	0.0939	0.597	0.530	0.931	0.658	0.234	1.000
3219	GPR123	G protein-coupled receptor 123	291002	2	2	2	0	0	1	0	1	0	0	0.0618	0.405	0.885	0.897	1.000	0.234	1.000
3220	CDCA7	cell division cycle associated 7	601153	2	2	2	0	0	0	1	1	0	0	0.181	0.563	0.0451	0.340	0.341	0.234	1.000
3221	FKBP11	FK506 binding protein 11, 19 kDa	265993	1	1	1	0	0	0	0	0	1	0	0.234	0.810	NaN	NaN	NaN	0.234	1.000
3222	SNRNP40	small nuclear ribonucleoprotein 40kDa (U5)	485717	1	1	1	0	1	0	0	0	0	0	0.234	0.697	NaN	NaN	NaN	0.234	1.000
3223	DCAF7	DDB1 and CUL4 associated factor 7	472869	1	1	1	0	1	0	0	0	0	0	0.234	0.663	NaN	NaN	NaN	0.234	1.000
3224	RBP4	retinol binding protein 4, plasma	234305	1	1	1	0	0	0	0	1	0	0	0.234	0.847	NaN	NaN	NaN	0.234	1.000
3225	OSBPL2	oxysterol binding protein-like 2	658369	2	2	2	0	0	1	0	0	1	0	0.368	0.583	0.131	0.937	0.169	0.234	1.000
3226	AMPD3	adenosine monophosphate deaminase (isoform E)	1027832	3	3	3	0	0	1	0	2	0	0	0.197	0.384	0.179	0.0738	0.314	0.234	1.000
3227	PAX1	paired box 1	317842	2	2	2	0	1	1	0	0	0	0	0.0641	0.357	0.327	0.305	0.967	0.234	1.000
3228	FEM1C	fem-1 homolog c (C. elegans)	831763	3	3	3	0	0	1	2	0	0	0	0.0620	0.276	0.880	0.435	1.000	0.235	1.000
3229	MIDN	midnolin	297889	1	1	1	0	1	0	0	0	0	0	0.235	0.641	NaN	NaN	NaN	0.235	1.000
3230	CPEB1	cytoplasmic polyadenylation element binding protein 1	719126	3	3	3	0	0	0	0	2	1	0	0.0783	0.553	0.839	0.393	0.794	0.235	1.000
3231	HPS4	Hermansky-Pudlak syndrome 4	962056	3	3	3	1	0	0	0	3	0	0	0.166	0.852	0.932	0.151	0.375	0.235	1.000
3232	PLEKHH3	pleckstrin homology domain containing, family H (with MyTH4 domain) member 3	553133	2	2	2	0	0	0	1	1	0	0	0.123	0.611	0.847	0.470	0.508	0.235	1.000
3233	OR4K15	olfactory receptor, family 4, subfamily K, member 15	462801	1	1	1	0	0	1	0	0	0	0	0.235	0.618	NaN	NaN	NaN	0.235	1.000
3234	NDE1	nudE nuclear distribution gene E homolog 1 (A. nidulans)	461111	1	1	1	0	0	1	0	0	0	0	0.235	0.596	NaN	NaN	NaN	0.235	1.000
3235	OR8B3	olfactory receptor, family 8, subfamily B, member 3	391883	2	2	2	0	0	1	0	1	0	0	0.0624	0.503	0.252	0.588	1.000	0.235	1.000
3236	TRIM23	tripartite motif-containing 23	823756	3	3	3	0	1	1	0	1	0	0	0.0742	0.528	0.778	0.635	0.841	0.235	1.000
3237	COMMD10	COMM domain containing 10	273777	2	2	2	0	0	0	0	2	0	0	0.0625	0.726	0.834	0.683	1.000	0.236	1.000
3238	TPPP	tubulin polymerization promoting protein	228015	1	1	1	0	0	0	0	0	1	0	0.236	0.821	NaN	NaN	NaN	0.236	1.000
3239	GDF3	growth differentiation factor 3	486397	3	2	3	0	0	0	1	1	1	0	0.0649	0.490	0.438	0.575	0.962	0.236	1.000
3240	KIF1B	kinesin family member 1B	3128339	10	10	9	1	1	4	0	2	3	0	0.0625	0.204	0.872	0.824	1.000	0.236	1.000
3241	NAB1	NGFI-A binding protein 1 (EGR1 binding protein 1)	663745	3	3	3	0	0	1	0	2	0	0	0.0625	0.478	0.737	0.646	1.000	0.236	1.000
3242	PRKCH	protein kinase C, eta	884042	4	4	3	0	0	1	0	0	3	0	0.0818	0.605	0.630	0.851	0.764	0.236	1.000
3243	BTBD7	BTB (POZ) domain containing 7	1559547	5	5	5	0	0	0	1	3	1	0	0.141	0.354	0.652	0.191	0.444	0.236	1.000
3244	RALGAPB	Ral GTPase activating protein, beta subunit (non-catalytic)	2071647	3	3	3	2	0	1	0	2	0	0	1.000	0.902	0.0582	0.169	0.0625	0.236	1.000
3245	P2RY14	purinergic receptor P2Y, G-protein coupled, 14	458864	1	1	1	0	0	0	1	0	0	0	0.236	0.721	NaN	NaN	NaN	0.236	1.000
3246	CD200R1	CD200 receptor 1	499180	1	1	1	0	0	1	0	0	0	0	0.236	0.679	NaN	NaN	NaN	0.236	1.000
3247	CHMP4B	chromatin modifying protein 4B	276604	1	1	1	0	0	0	0	0	1	0	0.236	1.000	NaN	NaN	NaN	0.236	1.000
3248	CCDC6	coiled-coil domain containing 6	609142	2	2	1	1	0	0	0	0	2	0	0.330	1.000	0.0104	0.713	0.190	0.237	1.000
3249	GSTM1	glutathione S-transferase M1	183272	1	1	1	0	0	1	0	0	0	0	0.237	0.519	NaN	NaN	NaN	0.237	1.000
3250	SHH	sonic hedgehog homolog (Drosophila)	296853	1	1	1	0	0	0	1	0	0	0	0.237	0.830	NaN	NaN	NaN	0.237	1.000
3251	FRMD7	FERM domain containing 7	982712	4	4	4	0	0	0	0	2	2	0	0.0629	0.630	0.853	0.870	1.000	0.237	1.000
3252	CSNK2B	casein kinase 2, beta polypeptide	233153	1	1	1	0	0	0	0	0	1	0	0.237	1.000	NaN	NaN	NaN	0.237	1.000
3253	TCEAL4	transcription elongation factor A (SII)-like 4	278793	1	1	1	0	0	0	0	1	0	0	0.237	0.882	NaN	NaN	NaN	0.237	1.000
3254	WNT7B	wingless-type MMTV integration site family, member 7B	330588	1	1	1	0	0	1	0	0	0	0	0.237	0.494	NaN	NaN	NaN	0.237	1.000
3255	RPL11	ribosomal protein L11	234602	1	1	1	0	0	0	0	1	0	0	0.237	0.844	NaN	NaN	NaN	0.237	1.000
3256	MIA	melanoma inhibitory activity	185085	1	1	1	0	0	1	0	0	0	0	0.237	0.567	NaN	NaN	NaN	0.237	1.000
3257	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	1911528	7	7	7	0	0	1	2	2	2	0	0.0630	0.186	0.723	0.535	1.000	0.237	1.000
3258	CACNA2D1	calcium channel, voltage-dependent, alpha 2/delta subunit 1	1512697	3	3	3	0	0	2	0	1	0	0	0.311	0.439	0.241	0.0989	0.203	0.237	1.000
3259	MMEL1	membrane metallo-endopeptidase-like 1	873539	4	4	4	0	0	1	1	2	0	0	0.0782	0.317	0.545	0.989	0.806	0.237	1.000
3260	NKD2	naked cuticle homolog 2 (Drosophila)	282593	1	1	1	0	0	0	0	1	0	0	0.237	0.826	NaN	NaN	NaN	0.237	1.000
3261	PPP2CA	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	426616	1	1	1	0	0	0	0	0	1	0	0.237	0.697	NaN	NaN	NaN	0.237	1.000
3262	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	489862	2	2	2	1	1	0	0	1	0	0	0.0855	0.950	0.543	0.772	0.738	0.237	1.000
3263	RPL32	ribosomal protein L32	179401	1	1	1	0	0	0	0	0	1	0	0.238	1.000	NaN	NaN	NaN	0.238	1.000
3264	GATA1	GATA binding protein 1 (globin transcription factor 1)	455920	1	1	1	0	0	1	0	0	0	0	0.238	0.623	NaN	NaN	NaN	0.238	1.000
3265	PDSS2	prenyl (decaprenyl) diphosphate synthase, subunit 2	522700	2	2	2	0	0	1	0	0	1	0	0.0799	0.657	0.0536	0.879	0.791	0.238	1.000
3266	NIT1	nitrilase 1	436614	1	1	1	0	0	0	0	0	1	0	0.238	1.000	NaN	NaN	NaN	0.238	1.000
3267	NSMCE4A	non-SMC element 4 homolog A (S. cerevisiae)	404567	1	1	1	0	0	0	0	0	1	0	0.238	1.000	NaN	NaN	NaN	0.238	1.000
3268	C1orf123	chromosome 1 open reading frame 123	228453	1	1	1	0	0	0	0	1	0	0	0.238	0.861	NaN	NaN	NaN	0.238	1.000
3269	GMPR	guanosine monophosphate reductase	441368	1	1	1	0	0	0	0	0	1	0	0.238	1.000	NaN	NaN	NaN	0.238	1.000
3270	RAB1A	RAB1A, member RAS oncogene family	275718	2	2	2	0	0	0	1	0	1	0	0.0721	0.437	0.286	0.320	0.878	0.238	1.000
3271	SLC44A1	solute carrier family 44, member 1	883881	3	3	3	0	0	0	0	1	2	0	0.143	0.538	0.300	0.927	0.445	0.238	1.000
3272	CNRIP1	cannabinoid receptor interacting protein 1	198653	1	1	1	0	0	0	0	1	0	0	0.239	0.839	NaN	NaN	NaN	0.239	1.000
3273	FAM193A	family with sequence similarity 193, member A	1619363	5	5	5	0	0	1	1	1	2	0	0.162	0.378	0.679	0.145	0.393	0.239	1.000
3274	ARSF	arylsulfatase F	789362	2	2	2	1	0	0	0	1	1	0	0.423	0.949	0.659	0.0789	0.150	0.239	1.000
3275	PIK3R6	phosphoinositide-3-kinase, regulatory subunit 6	796886	3	3	3	0	1	0	0	2	0	0	0.131	0.444	0.301	0.985	0.487	0.239	1.000
3276	RAET1L	retinoic acid early transcript 1L	304990	1	1	1	0	0	0	0	1	0	0	0.239	0.830	NaN	NaN	NaN	0.239	1.000
3277	SPDEF	SAM pointed domain containing ets transcription factor	351803	1	1	1	0	1	0	0	0	0	0	0.239	0.662	NaN	NaN	NaN	0.239	1.000
3278	KIAA1755	KIAA1755	1478672	3	3	3	0	0	1	1	0	1	0	0.435	0.349	0.0621	0.873	0.146	0.239	1.000
3279	SPSB2	splA/ryanodine receptor domain and SOCS box containing 2	261081	1	1	1	0	0	0	0	0	1	0	0.239	0.796	NaN	NaN	NaN	0.239	1.000
3280	HTRA3	HtrA serine peptidase 3	427313	1	1	1	0	0	0	1	0	0	0	0.239	0.833	NaN	NaN	NaN	0.239	1.000
3281	VWA5B1	von Willebrand factor A domain containing 5B1	677442	1	1	1	0	0	0	1	0	0	0	0.239	0.784	NaN	NaN	NaN	0.239	1.000
3282	ZGLP1	zinc finger, GATA-like protein 1	294207	1	1	1	0	0	1	0	0	0	0	0.239	0.604	NaN	NaN	NaN	0.239	1.000
3283	UNG	uracil-DNA glycosylase	383576	1	1	1	0	0	0	0	0	1	0	0.239	0.637	NaN	NaN	NaN	0.239	1.000
3284	TMEM106A	transmembrane protein 106A	367317	1	1	1	0	0	1	0	0	0	0	0.239	0.545	NaN	NaN	NaN	0.239	1.000
3285	SFT2D2	SFT2 domain containing 2	209256	1	1	1	0	0	0	0	1	0	0	0.239	0.827	NaN	NaN	NaN	0.239	1.000
3286	ZSCAN16	zinc finger and SCAN domain containing 16	474393	2	2	2	0	0	0	0	0	2	0	0.0638	1.000	0.955	0.816	1.000	0.239	1.000
3287	THADA	thyroid adenoma associated	2569515	8	8	8	0	1	0	0	5	2	0	0.118	0.214	0.344	0.606	0.539	0.239	1.000
3288	ADCK1	aarF domain containing kinase 1	692127	3	3	3	0	0	1	0	1	1	0	0.104	0.442	0.364	0.689	0.612	0.239	1.000
3289	CSNK1G2	casein kinase 1, gamma 2	318558	1	1	1	0	0	0	0	0	1	0	0.240	0.839	NaN	NaN	NaN	0.240	1.000
3290	SBK1	SH3-binding domain kinase 1	266797	1	1	1	0	1	0	0	0	0	0	0.240	0.637	NaN	NaN	NaN	0.240	1.000
3291	TREM2	triggering receptor expressed on myeloid cells 2	300946	1	1	1	0	0	0	0	0	1	0	0.240	1.000	NaN	NaN	NaN	0.240	1.000
3292	PI4KB	phosphatidylinositol 4-kinase, catalytic, beta	1121856	3	3	3	1	0	1	0	1	0	1	0.171	0.613	0.363	0.371	0.374	0.240	1.000
3293	CLYBL	citrate lyase beta like	445652	2	2	2	0	0	1	0	1	0	0	0.0687	0.564	0.842	0.0555	0.931	0.240	1.000
3294	RFX7	regulatory factor X, 7	1920530	4	4	4	1	0	2	0	0	2	0	0.385	0.696	0.218	0.178	0.166	0.240	1.000
3295	RPL18A	ribosomal protein L18a	197947	1	1	1	0	0	0	0	1	0	0	0.240	0.823	NaN	NaN	NaN	0.240	1.000
3296	IGDCC3	immunoglobulin superfamily, DCC subclass, member 3	905636	4	4	4	1	0	1	0	2	1	0	0.0640	0.556	0.981	0.864	1.000	0.240	1.000
3297	UPP2	uridine phosphorylase 2	480677	2	2	2	0	0	0	1	0	1	0	0.0640	0.453	0.493	0.600	1.000	0.240	1.000
3298	OBSL1	obscurin-like 1	1489694	2	2	2	2	0	0	1	0	1	0	0.862	0.991	0.906	0.0440	0.0742	0.240	1.000
3299	FAS	Fas (TNF receptor superfamily, member 6)	465137	1	1	1	0	0	1	0	0	0	0	0.240	0.683	NaN	NaN	NaN	0.240	1.000
3300	PLEKHB2	pleckstrin homology domain containing, family B (evectins) member 2	313442	1	1	1	0	1	0	0	0	0	0	0.240	0.656	NaN	NaN	NaN	0.240	1.000
3301	GSTA3	glutathione S-transferase A3	312292	1	1	1	1	0	0	0	1	0	0	0.240	0.956	NaN	NaN	NaN	0.240	1.000
3302	PA2G4	proliferation-associated 2G4, 38kDa	553321	3	3	2	0	0	0	0	0	3	0	0.114	1.000	0.343	0.440	0.564	0.240	1.000
3303	CNTNAP3	contactin associated protein-like 3	961552	4	3	4	0	0	0	0	3	1	0	0.166	0.578	0.639	0.179	0.386	0.240	1.000
3304	GATC	glutamyl-tRNA(Gln) amidotransferase, subunit C homolog (bacterial)	144749	1	1	1	0	0	0	0	0	1	0	0.241	1.000	NaN	NaN	NaN	0.241	1.000
3305	MORC4	MORC family CW-type zinc finger 4	1218119	3	3	3	0	0	0	0	1	2	0	0.236	0.733	0.478	0.0628	0.272	0.241	1.000
3306	SLC6A1	solute carrier family 6 (neurotransmitter transporter, GABA), member 1	805069	4	4	3	0	0	1	0	1	2	0	0.0857	0.445	0.586	0.912	0.751	0.241	1.000
3307	PGR	progesterone receptor	791294	2	2	2	0	1	0	0	1	0	0	0.302	0.510	0.358	0.162	0.213	0.241	1.000
3308	GGTLC1	gamma-glutamyltransferase light chain 1	286563	1	1	1	0	0	1	0	0	0	0	0.241	0.582	NaN	NaN	NaN	0.241	1.000
3309	AQP1	aquaporin 1 (Colton blood group)	329737	2	2	2	0	0	1	0	0	1	0	0.0650	0.526	0.998	0.209	0.992	0.241	1.000
3310	OR1J2	olfactory receptor, family 1, subfamily J, member 2	424211	1	1	1	0	0	1	0	0	0	0	0.241	0.544	NaN	NaN	NaN	0.241	1.000
3311	GPCPD1	glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae)	941856	2	2	2	0	0	0	1	1	0	0	0.311	0.543	0.0840	0.937	0.207	0.241	1.000
3312	CALCA	calcitonin-related polypeptide alpha	257586	1	1	1	0	0	0	0	0	1	0	0.241	0.576	NaN	NaN	NaN	0.241	1.000
3313	PDS5B	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)	2006680	6	5	6	1	0	1	0	2	3	0	0.120	0.694	0.343	0.298	0.540	0.242	1.000
3314	MTMR8	myotubularin related protein 8	963665	3	3	3	0	0	1	1	1	0	0	0.0890	0.377	0.573	0.572	0.727	0.242	1.000
3315	ZNF124	zinc finger protein 124	383531	1	1	1	1	1	0	0	0	0	0	0.242	0.947	NaN	NaN	NaN	0.242	1.000
3316	CRHBP	corticotropin releasing hormone binding protein	425972	1	1	1	0	1	0	0	0	0	0	0.242	0.666	NaN	NaN	NaN	0.242	1.000
3317	ADAR	adenosine deaminase, RNA-specific	1662217	6	6	6	2	1	0	1	3	1	0	0.218	0.696	0.290	0.299	0.297	0.242	1.000
3318	SLC35A5	solute carrier family 35, member A5	579317	2	2	2	0	0	0	1	0	1	0	0.126	0.682	0.816	0.287	0.514	0.242	1.000
3319	SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	209321	1	1	1	0	0	0	0	1	0	0	0.242	0.801	NaN	NaN	NaN	0.242	1.000
3320	PAN3	PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae)	1044951	4	4	4	0	0	0	1	3	0	0	0.122	0.366	0.471	0.391	0.531	0.242	1.000
3321	ANKRD17	ankyrin repeat domain 17	3467298	8	8	8	1	0	1	1	5	1	0	0.211	0.445	0.458	0.0979	0.307	0.242	1.000
3322	CELF6	CUGBP, Elav-like family member 6	343028	2	2	2	0	0	0	0	2	0	0	0.0648	0.678	0.907	0.987	1.000	0.242	1.000
3323	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	364780	1	1	1	1	0	0	0	1	0	0	0.242	0.960	NaN	NaN	NaN	0.242	1.000
3324	TWF2	twinfilin, actin-binding protein, homolog 2 (Drosophila)	411135	1	1	1	0	0	1	0	0	0	0	0.242	0.536	NaN	NaN	NaN	0.242	1.000
3325	RYR3	ryanodine receptor 3	6548756	13	12	12	2	4	2	2	2	3	0	0.436	0.163	0.0820	0.900	0.149	0.242	1.000
3326	PRTFDC1	phosphoribosyl transferase domain containing 1	307598	1	1	1	1	0	0	0	0	1	0	0.242	0.959	NaN	NaN	NaN	0.242	1.000
3327	N4BP1	NEDD4 binding protein 1	1129369	4	4	4	1	0	0	0	2	2	0	0.110	0.897	0.303	0.924	0.590	0.243	1.000
3328	TMEM59	transmembrane protein 59	440066	2	2	2	0	0	1	0	1	0	0	0.0902	0.592	0.359	0.798	0.721	0.243	1.000
3329	EIF3J	eukaryotic translation initiation factor 3, subunit J	297868	1	1	1	0	0	0	0	0	1	0	0.243	1.000	NaN	NaN	NaN	0.243	1.000
3330	PSG5	pregnancy specific beta-1-glycoprotein 5	454772	2	2	2	0	0	0	1	1	0	0	0.110	0.563	0.224	0.331	0.589	0.243	1.000
3331	NUPL2	nucleoporin like 2	580485	3	3	3	0	0	0	1	2	0	0	0.0650	0.401	0.630	0.624	1.000	0.243	1.000
3332	GPR17	G protein-coupled receptor 17	450410	2	2	2	0	2	0	0	0	0	0	0.0650	0.439	0.784	0.750	1.000	0.243	1.000
3333	MRPL18	mitochondrial ribosomal protein L18	249305	1	1	1	1	0	0	0	0	1	0	0.243	0.940	NaN	NaN	NaN	0.243	1.000
3334	MMP3	matrix metallopeptidase 3 (stromelysin 1, progelatinase)	661829	2	2	2	0	0	1	0	1	0	0	0.241	0.574	0.246	0.342	0.270	0.243	1.000
3335	CXCL9	chemokine (C-X-C motif) ligand 9	177682	1	1	1	0	0	0	0	0	1	0	0.243	1.000	NaN	NaN	NaN	0.243	1.000
3336	HERC3	hect domain and RLD 3	1459059	4	4	4	0	0	1	1	2	0	0	0.172	0.315	0.236	0.527	0.379	0.243	1.000
3337	DZIP1L	DAZ interacting protein 1-like	986075	3	3	3	0	1	1	0	1	0	0	0.104	0.381	0.425	0.294	0.624	0.243	1.000
3338	PCCB	propionyl Coenzyme A carboxylase, beta polypeptide	674836	3	3	3	0	0	0	1	1	1	0	0.141	0.562	0.314	0.939	0.464	0.243	1.000
3339	MAP3K15	mitogen-activated protein kinase kinase kinase 15	1532585	4	4	4	1	0	0	0	2	2	0	0.214	0.828	0.141	0.732	0.305	0.243	1.000
3340	GPX6	glutathione peroxidase 6 (olfactory)	309112	1	1	1	0	0	0	0	0	1	0	0.243	1.000	NaN	NaN	NaN	0.243	1.000
3341	TCF23	transcription factor 23	187493	1	1	1	0	1	0	0	0	0	0	0.243	0.698	NaN	NaN	NaN	0.243	1.000
3342	RAB11FIP2	RAB11 family interacting protein 2 (class I)	701120	3	3	3	0	0	1	0	2	0	0	0.0652	0.509	0.702	0.949	1.000	0.243	1.000
3343	HACE1	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	1233310	3	3	3	1	1	0	0	0	2	0	0.214	0.772	0.935	0.0567	0.305	0.243	1.000
3344	COL6A5	collagen, type VI, alpha 5	2301980	4	4	4	1	1	1	0	2	0	0	0.299	0.617	0.116	0.946	0.219	0.244	1.000
3345	POT1	POT1 protection of telomeres 1 homolog (S. pombe)	882161	2	2	2	1	0	0	0	1	1	0	0.334	0.905	0.416	0.119	0.196	0.244	1.000
3346	PAAF1	proteasomal ATPase-associated factor 1	541121	3	3	3	0	0	0	1	2	0	0	0.0654	0.443	0.819	0.356	1.000	0.244	1.000
3347	SPRY2	sprouty homolog 2 (Drosophila)	417124	2	2	2	0	0	2	0	0	0	0	0.0699	0.393	0.949	0.221	0.935	0.244	1.000
3348	PARD3	par-3 partitioning defective 3 homolog (C. elegans)	1782357	5	5	3	0	0	0	0	2	3	0	0.348	0.704	0.220	0.121	0.188	0.244	1.000
3349	TARS2	threonyl-tRNA synthetase 2, mitochondrial (putative)	991630	5	5	4	0	0	2	0	1	2	0	0.0825	0.317	0.598	0.346	0.793	0.244	1.000
3350	TRIB3	tribbles homolog 3 (Drosophila)	344161	1	1	1	0	0	0	0	0	1	0	0.244	1.000	NaN	NaN	NaN	0.244	1.000
3351	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	711571	3	3	3	0	0	0	0	2	1	0	0.106	0.588	0.531	0.408	0.619	0.244	1.000
3352	PCTP	phosphatidylcholine transfer protein	232686	1	1	1	0	0	0	0	1	0	0	0.244	0.860	NaN	NaN	NaN	0.244	1.000
3353	DCAKD	dephospho-CoA kinase domain containing	304427	1	1	1	0	0	0	1	0	0	0	0.244	0.855	NaN	NaN	NaN	0.244	1.000
3354	AMBP	alpha-1-microglobulin/bikunin precursor	479725	3	3	3	1	0	0	0	2	1	0	0.0655	0.872	0.961	0.628	1.000	0.244	1.000
3355	SLC39A4	solute carrier family 39 (zinc transporter), member 4	447948	1	1	1	0	1	0	0	0	0	0	0.244	0.552	NaN	NaN	NaN	0.244	1.000
3356	FAM90A1	family with sequence similarity 90, member A1	424402	1	1	1	0	0	0	0	0	1	0	0.244	1.000	NaN	NaN	NaN	0.244	1.000
3357	MS4A6E	membrane-spanning 4-domains, subfamily A, member 6E	205454	1	1	1	0	0	0	0	1	0	0	0.244	0.816	NaN	NaN	NaN	0.244	1.000
3358	ZSCAN20	zinc finger and SCAN domain containing 20	1374640	4	4	4	0	0	0	1	1	2	0	0.224	0.577	0.569	0.146	0.293	0.244	1.000
3359	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	227668	1	1	1	0	0	0	0	1	0	0	0.245	0.830	NaN	NaN	NaN	0.245	1.000
3360	ARSH	arylsulfatase family, member H	757634	2	2	2	0	0	0	0	2	0	0	0.313	0.683	0.937	0.158	0.210	0.245	1.000
3361	NAA20	N(alpha)-acetyltransferase 20, NatB catalytic subunit	247474	1	1	1	0	0	0	0	1	0	0	0.245	0.852	NaN	NaN	NaN	0.245	1.000
3362	KCTD8	potassium channel tetramerisation domain containing 8	392603	1	1	1	0	0	0	1	0	0	0	0.245	0.736	NaN	NaN	NaN	0.245	1.000
3363	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2	490138	1	1	1	0	0	0	1	0	0	0	0.245	0.649	NaN	NaN	NaN	0.245	1.000
3364	OR2L3	olfactory receptor, family 2, subfamily L, member 3	410614	1	1	1	0	1	0	0	0	0	0	0.245	0.827	NaN	NaN	NaN	0.245	1.000
3365	PDCD11	programmed cell death 11	2542407	4	3	4	1	1	1	0	1	1	0	0.828	0.409	0.572	0.0244	0.0795	0.245	1.000
3366	CELA3B	chymotrypsin-like elastase family, member 3B	341315	2	2	2	0	0	1	0	1	0	0	0.106	0.492	0.787	0.305	0.623	0.245	1.000
3367	FAM120AOS	family with sequence similarity 120A opposite strand	178903	1	1	1	1	0	0	0	1	0	0	0.245	0.957	NaN	NaN	NaN	0.245	1.000
